date,song,artist,rank,weekly_videos,image_url
2022-02-13,Ginseng Strip 2002,Yung Lean,1,646K,https://tokchart.com/img/6997999797663714054/600
2022-02-13,Ela Já Tá Louca,Nico Mejia ☆,2,394K,https://tokchart.com/img/7055778830786890501/600
2022-02-13,Paro Paro G,djsandyremix,3,360K,https://tokchart.com/img/7055495406725106458/600
2022-02-13,Ela Já Tá Louca,Anderson Neiff & John Johnis,4,340K,https://tokchart.com/img/7057270407434406661/600
2022-02-13,,,5,209K,https://tokchart.com/img/7012690693009312517/600
2022-02-13,Forever,Labrinth,6,202K,https://tokchart.com/img/6740248251825391617/600
2022-02-13,Neon Guts,.speeeditup,7,173K,https://tokchart.com/img/7056103803900250926/600
2022-02-13,Without me by Eminem,👛,8,165K,https://tokchart.com/img/7051732376891689730/600
2022-02-13,dc gaby e juu,Gaby Lopes,9,146K,https://tokchart.com/img/7045718128701721349/600
2022-02-13,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,10,129K,https://tokchart.com/img/6746993352891189249/600
2022-02-20,Ginseng Strip 2002,Yung Lean,1,1M,https://tokchart.com/img/6997999797663714054/600
2022-02-20,Ela Já Tá Louca,Nico Mejia ☆,2,642K,https://tokchart.com/img/7055778830786890501/600
2022-02-20,Paro Paro G,djsandyremix,3,608K,https://tokchart.com/img/7055495406725106458/600
2022-02-20,Ela Já Tá Louca,Anderson Neiff & John Johnis,4,554K,https://tokchart.com/img/7057270407434406661/600
2022-02-20,Forever,Labrinth,5,546K,https://tokchart.com/img/6740248251825391617/600
2022-02-20,Cornfield Chase,Dorian Marko,6,455K,https://tokchart.com/img/7019714357059881733/600
2022-02-20,Material Girl,Madonna,7,445K,https://tokchart.com/img/96169040/600
2022-02-20,middle of the night,EX7STENCE™,8,431K,https://tokchart.com/img/7060598220120034053/600
2022-02-20,dc gaby e juu,Gaby Lopes,9,420K,https://tokchart.com/img/7045718128701721349/600
2022-02-20,,,10,381K,https://tokchart.com/img/7012690693009312517/600
2022-02-27,Love You So,The King Khan & BBQ Show,1,715K,https://tokchart.com/img/6728562975734515713/600
2022-02-27,Una Noche en Medellín,Cris Mj,2,674K,https://tokchart.com/img/7055311619697756933/600
2022-02-27,Forever,Labrinth,3,600K,https://tokchart.com/img/6740248251825391617/600
2022-02-27,love game gimme more,edits,4,497K,https://tokchart.com/img/6963868042556230405/600
2022-02-27,Paro Paro G,djsandyremix,5,448K,https://tokchart.com/img/7055495406725106458/600
2022-02-27,Ginseng Strip 2002,Yung Lean,6,442K,https://tokchart.com/img/6997999797663714054/600
2022-02-27,Big And Chunky,Juanito T,7,407K,https://tokchart.com/img/7063068224027380485/600
2022-02-27,Material Girl,Madonna,8,377K,https://tokchart.com/img/96169040/600
2022-02-27,Falling In Love (Substance by Greedo),⠀,9,341K,https://tokchart.com/img/7057259100396112645/600
2022-02-27,La Siene,сухарь,10,331K,https://tokchart.com/img/7063911395397569281/600
2022-03-06,Love You So,The King Khan & BBQ Show,1,853K,https://tokchart.com/img/6728562975734515713/600
2022-03-06,DARARI,︎ ondu,2,686K,https://tokchart.com/img/7065014354940349210/600
2022-03-06,DJ Maafkan Soibah Ku X Akon Right Now Menimisu Mas,Ucil Fvnky,3,607K,https://tokchart.com/img/7064152964058942235/600
2022-03-06,Una Noche en Medellín,Cris Mj,4,593K,https://tokchart.com/img/7055311619697756933/600
2022-03-06,Forever,Labrinth,5,529K,https://tokchart.com/img/6740248251825391617/600
2022-03-06,Touch X Dougie Remix Challenge,Joshua Mijares,6,428K,https://tokchart.com/img/6941986827163142913/600
2022-03-06,Gatal,Janna Nick,7,405K,https://tokchart.com/img/7057067346099177473/600
2022-03-06,Ting Ting Ting,𝕽𝖎𝖆𝖓..𝓐,8,388K,https://tokchart.com/img/7058428041680177946/600
2022-03-06,Diwata,elli,9,376K,https://tokchart.com/img/7063380779400809242/600
2022-03-06,Big And Chunky,Juanito T,10,368K,https://tokchart.com/img/7063068224027380485/600
2022-03-13,Ting Ting Ting,𝕽𝖎𝖆𝖓..𝓐,1,1M,https://tokchart.com/img/7058428041680177946/600
2022-03-13,Love You So,The King Khan & BBQ Show,2,1M,https://tokchart.com/img/6728562975734515713/600
2022-03-13,Una Noche en Medellín,Cris Mj,3,525K,https://tokchart.com/img/7055311619697756933/600
2022-03-13,Forever,Labrinth,4,460K,https://tokchart.com/img/6740248251825391617/600
2022-03-13,im famous now lowkey,a,5,415K,https://tokchart.com/img/7060982222094633774/600
2022-03-13,saddddd,A•L•€•X 💋,6,319K,https://tokchart.com/img/7041476153470651142/600
2022-03-13,Dalamo Dalamo,DJ Opus,7,314K,https://tokchart.com/img/7059221563095730177/600
2022-03-13,original sound - davolaf,Davolaf,8,293K,https://tokchart.com/img/7028284230153112325/600
2022-03-13,Touch X Dougie Remix Challenge,Joshua Mijares,9,285K,https://tokchart.com/img/6941986827163142913/600
2022-03-13,"Bol Kaffara Kya Hoga - Neha Kakkar, DJ Chetas",DJ Chetas & Neha Kakkar & Farhan Sabri,10,271K,https://tokchart.com/img/7011145446525503490/600
2022-03-20,original sound - davolaf,Davolaf,1,1M,https://tokchart.com/img/7028284230153112325/600
2022-03-20,Love You So,The King Khan & BBQ Show,2,1M,https://tokchart.com/img/6728562975734515713/600
2022-03-20,Ting Ting Ting,𝕽𝖎𝖆𝖓..𝓐,3,804K,https://tokchart.com/img/7058428041680177946/600
2022-03-20,Una Noche en Medellín,Cris Mj,4,479K,https://tokchart.com/img/7055311619697756933/600
2022-03-20,Forever,Labrinth,5,413K,https://tokchart.com/img/6740248251825391617/600
2022-03-20,Can't Get You out of My Head (La La La Remix),System Society,6,399K,https://tokchart.com/img/6894311865766135809/600
2022-03-20,,,7,386K,https://tokchart.com/img/7060939676932410158/600
2022-03-20,Zou Bisou Bisou,Gillian Hills,8,360K,https://tokchart.com/img/6859153853636413441/600
2022-03-20,Love Yourself (Drill Remix),vita,9,347K,https://tokchart.com/img/7064884950239070977/600
2022-03-20,DARARI,︎ ondu,10,346K,https://tokchart.com/img/7065014354940349210/600
2022-03-27,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-03-27,,,2,1M,https://tokchart.com/img/6944559499671816961/600
2022-03-27,original sound - davolaf,Davolaf,3,964K,https://tokchart.com/img/7028284230153112325/600
2022-03-27,Just a Cloud Away,Pharrell Williams,4,610K,https://tokchart.com/img/6795407744489752577/600
2022-03-27,Envolver,Anitta,5,450K,https://tokchart.com/img/7028498814554130433/600
2022-03-27,Old Town Road,mazur4ik,6,429K,https://tokchart.com/img/7069398030901988101/600
2022-03-27,Prende la Cámara RMX,FMK & Tiago PZK & Mau y Ricky,7,389K,https://tokchart.com/img/7068767793553935110/600
2022-03-27,Ting Ting Ting,𝕽𝖎𝖆𝖓..𝓐,8,370K,https://tokchart.com/img/7058428041680177946/600
2022-03-27,Una Noche en Medellín,Cris Mj,9,359K,https://tokchart.com/img/7055311619697756933/600
2022-03-27,DARARI,︎ ondu,10,334K,https://tokchart.com/img/7065014354940349210/600
2022-04-03,,,1,1M,https://tokchart.com/img/6944559499671816961/600
2022-04-03,Love You So,The King Khan & BBQ Show,2,1M,https://tokchart.com/img/6728562975734515713/600
2022-04-03,Just a Cloud Away,Pharrell Williams,3,892K,https://tokchart.com/img/6795407744489752577/600
2022-04-03,My Name Is,D Billions,4,473K,https://tokchart.com/img/6896221138586699778/600
2022-04-03,Fuera del mercado,Danny Ocean,5,381K,https://tokchart.com/img/7075891693362711301/600
2022-04-03,Envolver,Anitta,6,372K,https://tokchart.com/img/7028498814554130433/600
2022-04-03,Sunroof,Nicky Youre & dazy,7,364K,https://tokchart.com/img/7030869625311086594/600
2022-04-03,Love Yourself (Drill Remix),vita,8,304K,https://tokchart.com/img/7064884950239070977/600
2022-04-03,Una Noche en Medellín,Cris Mj,9,301K,https://tokchart.com/img/7055311619697756933/600
2022-04-03,u can hold my hand,judi,10,300K,https://tokchart.com/img/6980344033805617926/600
2022-04-10,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-04-10,Just a Cloud Away,Pharrell Williams,2,723K,https://tokchart.com/img/6795407744489752577/600
2022-04-10,,,3,675K,https://tokchart.com/img/6944559499671816961/600
2022-04-10,Fuera del mercado,Danny Ocean,4,620K,https://tokchart.com/img/7075891693362711301/600
2022-04-10,My Name Is,D Billions,5,523K,https://tokchart.com/img/6896221138586699778/600
2022-04-10,they trunna be subway surf,ADX⛩️|autobunnyhop,6,520K,https://tokchart.com/img/7070211881109179138/600
2022-04-10,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,7,497K,https://tokchart.com/img/7061525143448849179/600
2022-04-10,Boom Cha La Ka Dance,LEA,8,452K,https://tokchart.com/img/7056185881278826498/600
2022-04-10,Sunroof,Nicky Youre & dazy,9,365K,https://tokchart.com/img/7030869625311086594/600
2022-04-10,original sound - yuh.itz.brody,Hello I’m Brody😋,10,277K,https://tokchart.com/img/6994862961667967749/600
2022-04-17,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-04-17,BOMBÓN,Daddy Yankee & El Alfa & Lil Jon,2,594K,https://tokchart.com/img/7079496674678213381/600
2022-04-17,As It Was,Harry Styles,3,501K,https://tokchart.com/img/7081404214387148802/600
2022-04-17,Fuera del mercado,Danny Ocean,4,491K,https://tokchart.com/img/7075891693362711301/600
2022-04-17,My Name Is,D Billions,5,437K,https://tokchart.com/img/6896221138586699778/600
2022-04-17,,,6,412K,https://tokchart.com/img/6944559499671816961/600
2022-04-17,Sunroof,Nicky Youre & dazy,7,377K,https://tokchart.com/img/7030869625311086594/600
2022-04-17,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,8,333K,https://tokchart.com/img/7061525143448849179/600
2022-04-17,Thằng Hầu (Thái Hoàng Remix) [Short Version],Dunghoangpham,9,317K,https://tokchart.com/img/7078552239287159579/600
2022-04-17,Get Low,Dillon Francis & DJ Snake,10,281K,https://tokchart.com/img/6421452767147232002/600
2022-04-24,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-04-24,Sunroof,Nicky Youre & dazy,2,451K,https://tokchart.com/img/7030869625311086594/600
2022-04-24,BOMBÓN,Daddy Yankee & El Alfa & Lil Jon,3,430K,https://tokchart.com/img/7079496674678213381/600
2022-04-24,Love Maybe Secret Number,NiKO,4,384K,https://tokchart.com/img/7074886470057675547/600
2022-04-24,Fuera del mercado,Danny Ocean,5,365K,https://tokchart.com/img/7075891693362711301/600
2022-04-24,As It Was,Harry Styles,6,340K,https://tokchart.com/img/7081404214387148802/600
2022-04-24,Bobo,Calimpitan Twins,7,300K,https://tokchart.com/img/6980208473510251290/600
2022-04-24,My Name Is,D Billions,8,297K,https://tokchart.com/img/6896221138586699778/600
2022-04-24,,,9,290K,https://tokchart.com/img/6944559499671816961/600
2022-04-24,Get Low,Dillon Francis & DJ Snake,10,277K,https://tokchart.com/img/6421452767147232002/600
2022-05-08,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,1,1M,https://tokchart.com/img/7082370286401702683/600
2022-05-08,Love You So,The King Khan & BBQ Show,2,836K,https://tokchart.com/img/6728562975734515713/600
2022-05-08,ZOOM,Jessi,3,613K,https://tokchart.com/img/7084201528721950722/600
2022-05-08,TAKBIRAN,Keluarga Nahla,4,424K,https://tokchart.com/img/6908796980122617857/600
2022-05-08,See Tình - Hoàng Thuỳ Linh (Sped Up Version),gjnk,5,378K,https://tokchart.com/img/7073776380529412891/600
2022-05-08,Sunroof,Nicky Youre & dazy,6,346K,https://tokchart.com/img/7030869625311086594/600
2022-05-08,original sound - mdsharia80,MD:Sharia80,7,333K,https://tokchart.com/img/6959192420412033794/600
2022-05-08,East Side Flow,Sidhu Moose Wala,8,303K,https://tokchart.com/img/6709398585370216450/600
2022-05-08,,,9,273K,https://tokchart.com/img/6944559499671816961/600
2022-05-08,Party Coy,ORANG BANJAR,10,263K,https://tokchart.com/img/6829376311581084418/600
2022-05-15,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-05-15,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,2,983K,https://tokchart.com/img/7082370286401702683/600
2022-05-15,Jiggle Jiggle,Duke & Jones & Louis Theroux,3,758K,https://tokchart.com/img/7075729123557100294/600
2022-05-15,About Damn Time,Lizzo,4,585K,https://tokchart.com/img/7086201843973621762/600
2022-05-15,ZOOM,Jessi,5,561K,https://tokchart.com/img/7084201528721950722/600
2022-05-15,See Tình - Hoàng Thuỳ Linh (Sped Up Version),gjnk,6,350K,https://tokchart.com/img/7073776380529412891/600
2022-05-15,MOONDO BY KASH KOO,ℓσяєℓαιη͢͢͢є 💙,7,329K,https://tokchart.com/img/6838249382299585282/600
2022-05-15,About Damn Time,Lizzo,8,243K,https://tokchart.com/img/7089828122854197249/600
2022-05-15,PROVENZA,KAROL G,9,232K,https://tokchart.com/img/7089940822535277318/600
2022-05-15,rainbow,Gatton,10,213K,https://tokchart.com/img/6925656726998009857/600
2022-05-22,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-05-22,Jiggle Jiggle,Duke & Jones & Louis Theroux,2,773K,https://tokchart.com/img/7075729123557100294/600
2022-05-22,ZOOM,Jessi,3,458K,https://tokchart.com/img/7084201528721950722/600
2022-05-22,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,4,430K,https://tokchart.com/img/7082370286401702683/600
2022-05-22,Cyberpunk,Max Brhon,5,378K,https://tokchart.com/img/6761043041311541250/600
2022-05-22,MOONDO BY KASH KOO,ℓσяєℓαιη͢͢͢є 💙,6,377K,https://tokchart.com/img/6838249382299585282/600
2022-05-22,Sin Pijama,Becky G & NATTI NATASHA,7,333K,https://tokchart.com/img/6812122639365049090/600
2022-05-22,Gogo Dance,El Alfa & Chael Produciendo,8,319K,https://tokchart.com/img/7087744357444471557/600
2022-05-22,About Damn Time,Lizzo,9,303K,https://tokchart.com/img/7086201843973621762/600
2022-05-22,Buga (Lo Lo Lo),Kizz Daniel,10,301K,https://tokchart.com/img/7093949567481285381/600
2022-05-29,Jiggle Jiggle,Duke & Jones & Louis Theroux,1,949K,https://tokchart.com/img/7075729123557100294/600
2022-05-29,Love You So,The King Khan & BBQ Show,2,904K,https://tokchart.com/img/6728562975734515713/600
2022-05-29,Buga (Lo Lo Lo),Kizz Daniel,3,525K,https://tokchart.com/img/7093949567481285381/600
